"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.948491705E2,6.532266725E1,2.536801754E1,7.381573215E0,1.730000019E0,2.486000061E2,1.020408154E0,2.000000000E0
1.958491713E2,6.532266411E1,2.536797211E1,7.381559467E0,1.689999938E0,2.531999969E2,1.020408154E0,2.000000000E0
1.968491721E2,6.532266080E1,2.536792827E1,8.381546330E0,1.649999976E0,2.592999878E2,1.020408154E0,2.000000000E0
1.978491729E2,6.532265749E1,2.536788527E1,8.381533474E0,1.610000014E0,2.626000061E2,1.020408154E0,2.000000000E0
1.988491738E2,6.532265041E1,2.536779542E1,8.381506686E0,1.579999924E0,2.680000000E2,1.020408154E0,2.000000000E0
1.998491746E2,6.532265015E1,2.536778435E1,8.381503098E0,1.519999981E0,2.657999878E2,1.020408154E0,2.000000000E0
2.008491756E2,6.532264768E1,2.536774169E1,8.381489964E0,1.549999952E0,2.658999939E2,1.020408154E0,2.000000000E0
2.018491765E2,6.532264546E1,2.536769793E1,8.381476348E0,1.589999914E0,2.662999878E2,1.020408154E0,2.000000000E0
2.028491773E2,6.532264542E1,2.536768754E1,8.381472887E0,1.610000014E0,2.672999878E2,1.020408154E0,2.000000000E0
2.038491782E2,6.532264353E1,2.536764278E1,8.381458777E0,1.629999995E0,2.687000122E2,1.020408154E0,2.000000000E0
2.048491791E2,6.532264173E1,2.536759785E1,8.381444573E0,1.639999986E0,2.628999939E2,1.020408154E0,2.000000000E0
2.058491799E2,6.532263997E1,2.536755268E1,8.381430265E0,1.659999967E0,2.632000122E2,1.020408154E0,2.000000000E0
2.068491808E2,6.532263821E1,2.536750716E1,8.381415844E0,1.669999957E0,2.595000000E2,1.020408154E0,2.000000000E0
